"","c_c_cx","f_fr_cx_x","c_c_cx_us","f_mn_cx_xs","f_sd_cx_xs","c_c_dx","f_fr_dx_x","f_sd_dx_xs","c_c_dx_b0","f_fr_dx_tb_b0","f_mn_xs_dx_b0","f_sd_xs_dx_b0","f_mn_tg_dx_b0","f_sd_tg_dx_b0","c_c_dx_b1","f_fr_dx_tb_b1","f_mn_xs_dx_b1","f_sd_xs_dx_b1","f_mn_tg_dx_b1","f_sd_tg_dx_b1"
"819",72,0.24,2,56.1666666666667,1.40435829552939,228,0.76,628.624100824757,55,0.241228070175439,116,0,0.875805426526953,0.470927193012707,173,0.758771929824561,1585.31213872832,4.21608844596774,0.873136912667474,0.526639098458547
"820",61,0.203333333333333,2,56.3934426229508,2.1369404244984,239,0.796666666666667,620.200063669384,57,0.238493723849372,131.508771929825,5.27958172619982,0.927100147519793,0.478255896262858,182,0.761506276150628,1580.92307692308,3.51996517785757,0.913803205964315,0.489661172758998
"821",53,0.176666666666667,2,56.2264150943396,1.63270246436105,247,0.823333333333333,640.182147201996,63,0.255060728744939,116,0,0.979070848034274,0.561413615759174,184,0.744939271255061,1583.20108695652,0.333774185892123,0.99425036789941,0.545214700466418
"822",52,0.173333333333333,1,56,0,248,0.826666666666667,610.669824011934,58,0.233870967741935,149.051724137931,54.9612417887662,0.862004472498308,0.523438745071378,190,0.766129032258065,1585.21052631579,4.14955859882674,0.853473269750202,0.556335717273724
"823",49,0.163333333333333,2,56.2448979591837,1.69670283190421,251,0.836666666666667,619.632742856656,59,0.235059760956175,124,57.1182982939793,0.829955832711582,0.544692356245545,192,0.764940239043825,1580.984375,3.44333847290198,0.860391432078097,0.537252516801124
"824",58,0.193333333333333,1,56,0,242,0.806666666666667,624.423458429284,58,0.239669421487603,123.810344827586,58.9668103306491,1.02453474831163,0.569203196711058,184,0.760330578512397,1583.63043478261,0.978171404032074,1.01156312390103,0.551745723512821
"825",52,0.173333333333333,2,56.2307692307692,1.64802194504835,248,0.826666666666667,643.115178591241,64,0.258064516129032,116,0,1.05746060325986,0.557450694370594,184,0.741935483870968,1585.71739130435,4.44856128906111,1.03262923714893,0.56386770952704
"826",53,0.176666666666667,1,56,0,247,0.823333333333333,644.040559177723,64,0.259109311740891,116,0,1.05033726162381,0.553394303063002,183,0.740890688259109,1585.89617486339,4.53584829933271,1.04902731979286,0.598015984865404
"827",88,0.293333333333333,1,56,0,212,0.706666666666667,636.275226055594,53,0.25,116,0,0.851699393529158,0.548107157623331,159,0.75,1585.38993710692,4.26468893287162,0.888952434817447,0.569709654857166
"828",51,0.17,2,58.1176470588235,4.57464049299378,249,0.83,655.166901763685,68,0.273092369477912,116,0,0.963320290864404,0.398254499530607,181,0.726907630522088,1586.45303867403,4.05872190937175,0.978982468446096,0.371446142126908
"829",11,0.0366666666666667,1,68,0,289,0.963333333333333,675.973744745996,88,0.304498269896194,121.113636363636,47.6968247032951,0.957038945165174,0.647236428133109,201,0.695501730103806,1587.89054726368,29.8321666888653,0.968805487155914,0.645169619621331
